                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3711,                 1.6071,                  1.358,                0.85015,                0.59913,                0.70138,                0.41113,                 1.5678,                 1.5764,                 1.4357,               0.067524,             0.00032804,             0.00032804
                      2,                  1.218,                0.89718,                 1.2271,                 0.6811,                0.38528,                0.45149,                0.27163,                 1.8449,                  5.026,                 2.0592,               0.034517,             0.00065483,             0.00065483
                      3,                 1.1916,                0.89182,                  1.208,                0.62037,                0.50216,                 0.5506,                0.33626,                 1.6052,                    1.9,                  1.735,              0.0015041,             0.00097501,             0.00097501
                      4,                 1.1802,                0.81462,                  1.236,                0.81667,                0.58701,                0.68726,                0.42421,                 1.4819,                 2.1722,                 1.5215,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1977,                 0.8356,                 1.2254,                0.66664,                0.58701,                 0.6656,                0.38543,                  1.712,                 1.4991,                 1.7398,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1254,                0.75851,                 1.1761,                0.87191,                0.73939,                0.80224,                0.45571,                  1.533,                 1.1357,                 1.6258,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1335,                0.74575,                   1.17,                0.81292,                0.71515,                0.77997,                0.45803,                  1.543,                 1.1586,                  1.579,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1008,                0.72613,                 1.1538,                0.83095,                0.71688,                0.79602,                0.49476,                  1.398,                 1.1554,                 1.4607,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0262,                0.65195,                 1.1234,                0.86279,                0.77229,                 0.8647,                0.52488,                 1.3676,                 0.9053,                 1.4773,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.0627,                0.69177,                  1.128,                0.81278,                0.57134,                0.66861,                0.38649,                 1.6882,                 1.6385,                 1.7458,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.0401,                0.67122,                 1.1144,                0.82736,                 0.7619,                0.81949,                0.46027,                 1.5836,                  1.016,                 1.5851,               0.000901,               0.000901,               0.000901
                     12,                 1.0198,                0.64277,                 1.1253,                0.83048,                0.68831,                0.78757,                0.43706,                 1.6938,                 1.1255,                 1.7141,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.0206,                0.63385,                 1.1112,                0.82749,                0.77056,                0.81291,                0.47575,                 1.4986,                 1.0841,                 1.6018,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.0045,                0.61388,                 1.1027,                0.86998,                0.80606,                0.88402,                0.56465,                  1.295,                0.84909,                 1.3859,              0.0008713,              0.0008713,              0.0008713
                     15,                0.97223,                0.58593,                 1.1002,                  0.911,                0.81534,                0.88169,                0.57254,                  1.313,                0.89053,                 1.3515,              0.0008614,              0.0008614,              0.0008614
                     16,                0.93087,                0.56078,                 1.0745,                 0.8864,                0.81299,                0.88271,                0.56309,                 1.3605,                0.86316,                 1.4227,              0.0008515,              0.0008515,              0.0008515
                     17,                0.95931,                0.57514,                  1.082,                0.88775,                0.78742,                0.86352,                0.50702,                 1.4938,                0.91037,                 1.5456,              0.0008416,              0.0008416,              0.0008416
                     18,                0.95853,                0.57205,                 1.0784,                0.91477,                0.80841,                0.87805,                0.56737,                  1.318,                0.86174,                 1.3914,              0.0008317,              0.0008317,              0.0008317
                     19,                0.92259,                0.55357,                 1.0604,                 0.9002,                 0.7974,                0.89325,                0.58577,                 1.2796,                0.82838,                 1.3358,              0.0008218,              0.0008218,              0.0008218
                     20,                0.90426,                 0.5529,                 1.0585,                0.89608,                 0.7645,                0.85398,                0.55826,                 1.3543,                0.94104,                 1.3964,              0.0008119,              0.0008119,              0.0008119
                     21,                0.92285,                0.54655,                 1.0615,                0.90841,                 0.8072,                0.89321,                0.57643,                 1.3458,                0.85742,                 1.4518,               0.000802,               0.000802,               0.000802
                     22,                0.92363,                0.55898,                 1.0534,                0.88033,                0.81472,                0.88711,                0.57606,                 1.3023,                0.83216,                 1.4043,              0.0007921,              0.0007921,              0.0007921
                     23,                0.93848,                0.56198,                 1.0652,                  0.838,                0.79048,                0.86978,                0.56197,                 1.4146,                0.95156,                 1.4999,              0.0007822,              0.0007822,              0.0007822
                     24,                0.88296,                0.53695,                 1.0438,                0.87373,                 0.8303,                0.90371,                0.57664,                 1.3294,                0.82784,                 1.4402,              0.0007723,              0.0007723,              0.0007723
                     25,                0.91074,                0.52363,                 1.0439,                0.91108,                0.85162,                 0.9087,                0.59108,                 1.2769,                0.77523,                 1.3496,              0.0007624,              0.0007624,              0.0007624
                     26,                0.87376,                0.51367,                  1.031,                0.92386,                0.80779,                0.87904,                0.57292,                 1.2617,                0.85386,                 1.3695,              0.0007525,              0.0007525,              0.0007525
                     27,                0.87665,                 0.5005,                 1.0332,                0.91005,                0.83221,                 0.9094,                 0.6247,                 1.2188,                0.81789,                 1.2966,              0.0007426,              0.0007426,              0.0007426
                     28,                0.88098,                0.50889,                 1.0362,                0.84671,                0.67879,                0.80501,                0.51112,                 1.3686,                 1.1312,                 1.4559,              0.0007327,              0.0007327,              0.0007327
                     29,                0.90635,                0.52305,                 1.0477,                0.86169,                0.72282,                0.84621,                0.54919,                 1.3866,                0.98434,                 1.4432,              0.0007228,              0.0007228,              0.0007228
                     30,                0.87138,                0.51309,                 1.0445,                0.90233,                0.83991,                0.90189,                0.59125,                 1.3065,                0.81099,                 1.4367,              0.0007129,              0.0007129,              0.0007129
                     31,                 0.8491,                0.49963,                 1.0151,                0.93237,                0.80346,                0.88134,                0.60049,                 1.2409,                0.88072,                 1.3818,               0.000703,               0.000703,               0.000703
                     32,                0.86753,                0.50845,                 1.0369,                0.90126,                 0.8298,                0.90528,                0.59792,                 1.2729,                0.75173,                 1.3627,              0.0006931,              0.0006931,              0.0006931
                     33,                  0.836,                0.47803,                 1.0146,                0.94256,                0.86665,                0.93259,                0.61763,                 1.2218,                0.65491,                 1.2934,              0.0006832,              0.0006832,              0.0006832
                     34,                0.83727,                0.48368,                 1.0128,                0.90777,                0.82659,                 0.9001,                0.58643,                 1.2294,                0.73239,                 1.3022,              0.0006733,              0.0006733,              0.0006733
                     35,                0.84375,                0.48324,                 1.0123,                0.90708,                0.83377,                0.91794,                0.59216,                 1.2741,                0.74307,                 1.3253,              0.0006634,              0.0006634,              0.0006634
                     36,                  0.832,                0.47626,                 1.0069,                0.92012,                0.84773,                0.92954,                0.62823,                 1.2394,                0.71734,                 1.3786,              0.0006535,              0.0006535,              0.0006535
                     37,                0.83205,                0.46776,                 1.0116,                0.93126,                0.84675,                0.92002,                0.61306,                 1.2174,                0.70059,                 1.3603,              0.0006436,              0.0006436,              0.0006436
                     38,                0.83125,                0.47417,                 1.0104,                0.86069,                 0.7863,                0.87434,                0.56112,                 1.3256,                0.88782,                 1.4381,              0.0006337,              0.0006337,              0.0006337
                     39,                0.79501,                0.45735,                0.99217,                 0.9197,                0.83293,                0.89457,                0.60231,                 1.2431,                0.77495,                 1.3812,              0.0006238,              0.0006238,              0.0006238
                     40,                0.81811,                 0.4657,                  1.012,                0.93317,                0.82944,                0.90317,                0.62062,                 1.2095,                0.78586,                 1.3509,              0.0006139,              0.0006139,              0.0006139
                     41,                0.81437,                0.44964,                 1.0005,                0.92637,                0.87186,                0.93573,                0.64195,                 1.1969,                0.66185,                 1.3086,               0.000604,               0.000604,               0.000604
                     42,                0.81349,                0.44168,                0.99617,                0.91345,                0.85022,                0.92303,                 0.6198,                 1.2215,                0.65012,                 1.3067,              0.0005941,              0.0005941,              0.0005941
                     43,                0.80209,                0.45413,                0.99728,                0.90621,                0.83896,                0.91467,                0.62554,                 1.2138,                0.75888,                 1.3131,              0.0005842,              0.0005842,              0.0005842
                     44,                0.78771,                0.43905,                0.98768,                 0.8947,                0.84848,                0.91346,                0.59953,                 1.3047,                0.72609,                 1.3704,              0.0005743,              0.0005743,              0.0005743
                     45,                0.79973,                0.45029,                0.99897,                0.85111,                0.83636,                0.90245,                0.59525,                 1.2383,                0.73792,                 1.3617,              0.0005644,              0.0005644,              0.0005644
                     46,                0.78481,                0.44279,                0.99287,                0.95071,                0.83506,                0.92587,                0.65584,                 1.1389,                0.66883,                 1.2502,              0.0005545,              0.0005545,              0.0005545
                     47,                0.79396,                0.44579,                 0.9941,                0.90984,                0.83006,                0.91763,                0.63548,                 1.1797,                0.72469,                 1.3181,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.7706,                0.43023,                0.98151,                 0.9442,                0.84848,                0.93976,                0.63996,                 1.1746,                0.66573,                 1.2842,              0.0005347,              0.0005347,              0.0005347
                     49,                0.77361,                 0.4361,                0.99316,                0.91645,                0.81212,                0.91805,                0.61046,                  1.264,                0.68584,                 1.3557,              0.0005248,              0.0005248,              0.0005248
                     50,                0.76604,                0.42906,                0.98739,                0.87617,                0.83377,                0.92362,                0.63174,                 1.1926,                0.73415,                 1.3181,              0.0005149,              0.0005149,              0.0005149
                     51,                0.76772,                0.41802,                0.99136,                0.94833,                 0.7974,                0.92117,                0.62984,                 1.1892,                0.69119,                 1.3029,               0.000505,               0.000505,               0.000505
                     52,                0.78173,                0.42844,                0.98605,                0.86801,                0.84935,                0.91435,                 0.6328,                  1.197,                0.76596,                 1.3197,              0.0004951,              0.0004951,              0.0004951
                     53,                0.75329,                0.41449,                0.97768,                0.94589,                0.83237,                0.93852,                0.65071,                 1.1515,                 0.6592,                 1.3052,              0.0004852,              0.0004852,              0.0004852
                     54,                0.75267,                0.42983,                0.97167,                0.93957,                0.84807,                0.92667,                0.60906,                 1.2506,                0.66911,                 1.4007,              0.0004753,              0.0004753,              0.0004753
                     55,                0.75627,                0.41506,                0.97269,                0.94989,                0.85343,                 0.9448,                0.64278,                 1.1962,                0.64787,                  1.346,              0.0004654,              0.0004654,              0.0004654
                     56,                0.74646,                0.40266,                0.96881,                0.95327,                0.84787,                0.93531,                0.64081,                 1.1943,                0.65512,                 1.3339,              0.0004555,              0.0004555,              0.0004555
                     57,                0.73979,                0.39624,                0.97114,                0.92698,                0.86667,                0.93728,                0.66049,                  1.164,                0.63122,                 1.2824,              0.0004456,              0.0004456,              0.0004456
                     58,                0.73752,                0.40066,                0.96315,                0.92999,                0.86667,                0.93213,                0.62947,                 1.2326,                0.66101,                 1.2783,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.7635,                0.41377,                0.96946,                0.95055,                0.81905,                0.92673,                0.61475,                 1.2574,                0.67621,                 1.3408,              0.0004258,              0.0004258,              0.0004258
                     60,                 0.7282,                0.39396,                0.95925,                0.91594,                  0.871,                0.93947,                0.65254,                 1.1536,                0.60622,                 1.2441,              0.0004159,              0.0004159,              0.0004159
                     61,                0.72888,                0.39453,                0.96853,                0.92759,                0.87624,                0.93604,                0.64851,                 1.1981,                0.60086,                  1.268,               0.000406,               0.000406,               0.000406
                     62,                0.70637,                0.38859,                0.95497,                0.95789,                0.84685,                 0.9221,                0.61647,                 1.2586,                0.65783,                 1.3174,              0.0003961,              0.0003961,              0.0003961
                     63,                0.70475,                 0.3844,                0.95225,                0.93619,                 0.8684,                0.92377,                0.62882,                 1.2119,                0.66708,                 1.2514,              0.0003862,              0.0003862,              0.0003862
                     64,                0.71084,                0.39041,                0.95422,                0.93695,                0.87489,                0.94451,                0.63582,                   1.23,                0.60287,                 1.2872,              0.0003763,              0.0003763,              0.0003763
                     65,                0.70891,                0.38606,                0.95082,                0.93259,                0.86236,                0.94057,                0.67173,                 1.1825,                0.66423,                  1.262,              0.0003664,              0.0003664,              0.0003664
                     66,                0.69646,                0.37391,                0.94519,                0.92327,                0.87619,                0.93496,                0.65836,                 1.1732,                0.60433,                 1.2866,              0.0003565,              0.0003565,              0.0003565
                     67,                0.69265,                0.37941,                0.94394,                0.92052,                0.88225,                0.92583,                0.63372,                 1.2215,                0.59962,                 1.3198,              0.0003466,              0.0003466,              0.0003466
                     68,                0.69047,                0.37549,                0.94045,                0.93337,                 0.8684,                0.93496,                0.65218,                 1.2119,                0.64087,                 1.3479,              0.0003367,              0.0003367,              0.0003367
                     69,                0.70318,                0.38085,                0.95482,                0.93023,                0.86147,                0.92896,                0.64664,                 1.1579,                0.65229,                 1.3057,              0.0003268,              0.0003268,              0.0003268
                     70,                0.69734,                0.38454,                0.95131,                0.92649,                0.87291,                 0.9264,                0.60265,                 1.2726,                 0.6831,                 1.3792,              0.0003169,              0.0003169,              0.0003169
                     71,                0.68438,                 0.3679,                0.93945,                0.94049,                0.86198,                 0.9264,                0.61886,                 1.2552,                0.66196,                 1.4014,               0.000307,               0.000307,               0.000307
                     72,                0.68981,                0.37132,                0.95311,                0.93967,                0.87359,                0.92719,                 0.6345,                 1.1856,                0.64718,                 1.3462,              0.0002971,              0.0002971,              0.0002971
                     73,                 0.6883,                0.37611,                0.94872,                0.92111,                0.89091,                 0.9329,                0.64495,                 1.1455,                0.61276,                 1.3259,              0.0002872,              0.0002872,              0.0002872
                     74,                0.67992,                0.37815,                 0.9463,                0.94675,                 0.8658,                0.93254,                0.64334,                 1.1929,                0.62439,                 1.3867,              0.0002773,              0.0002773,              0.0002773
                     75,                0.68515,                0.36867,                0.95231,                0.93361,                0.90103,                0.94715,                0.65912,                 1.1986,                0.57566,                  1.359,              0.0002674,              0.0002674,              0.0002674
                     76,                0.65251,                0.34599,                0.93453,                 0.9492,                0.87879,                0.94805,                0.67967,                 1.1395,                0.58104,                 1.3098,              0.0002575,              0.0002575,              0.0002575
                     77,                0.66681,                0.36002,                0.94051,                0.93324,                0.87879,                0.94138,                0.66037,                 1.1543,                0.60295,                 1.3012,              0.0002476,              0.0002476,              0.0002476
                     78,                0.65215,                0.34437,                0.93114,                0.94836,                0.87449,                0.94552,                0.65665,                  1.167,                0.61101,                 1.3216,              0.0002377,              0.0002377,              0.0002377
                     79,                0.65992,                0.35207,                0.93575,                0.95464,                0.89284,                0.95645,                 0.6679,                 1.1819,                0.54507,                 1.3316,              0.0002278,              0.0002278,              0.0002278
                     80,                0.65679,                 0.3461,                0.92794,                0.95788,                0.88571,                0.95505,                0.66998,                 1.1758,                0.56969,                 1.3138,              0.0002179,              0.0002179,              0.0002179
                     81,                0.64321,                0.33817,                  0.929,                0.95052,                0.89004,                0.95576,                0.68849,                   1.12,                0.55116,                 1.2943,               0.000208,               0.000208,               0.000208
                     82,                0.63729,                0.33663,                0.92526,                0.93431,                0.87437,                0.95065,                0.66834,                 1.1706,                0.59906,                  1.361,              0.0001981,              0.0001981,              0.0001981
                     83,                0.64421,                 0.3391,                0.93816,                0.93988,                0.87532,                0.95035,                0.67828,                 1.1347,                0.59276,                  1.318,              0.0001882,              0.0001882,              0.0001882
                     84,                0.65071,                0.33923,                0.92896,                0.95749,                0.87745,                0.95072,                0.68685,                 1.1149,                0.57908,                 1.2991,              0.0001783,              0.0001783,              0.0001783
                     85,                0.62179,                0.32127,                0.93441,                0.94009,                0.89091,                0.95195,                0.68354,                 1.1367,                0.58645,                 1.3158,              0.0001684,              0.0001684,              0.0001684
                     86,                0.62683,                0.34154,                0.92396,                0.93817,                0.89326,                0.94796,                0.66856,                 1.1612,                0.57727,                 1.3435,              0.0001585,              0.0001585,              0.0001585
