                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3735,                 1.4579,                 1.4299,                0.94098,                0.70756,                0.83299,                0.60357,                 1.2496,                 1.3973,                 1.7169,               0.067524,             0.00032804,             0.00032804
                      2,                0.96413,                0.70219,                  1.158,                0.92289,                0.72004,                0.84194,                0.59381,                 1.3941,                 2.3007,                  1.868,               0.034517,             0.00065483,             0.00065483
                      3,                0.88914,                0.62025,                 1.1176,                0.88142,                0.64694,                 0.6947,                0.41553,                 1.6765,                 4.2219,                 2.2239,              0.0015041,             0.00097501,             0.00097501
                      4,                 0.8745,                0.61802,                  1.115,                0.90045,                0.71363,                0.82958,                0.62036,                 1.2855,                 1.1137,                 1.7296,              0.0009703,              0.0009703,              0.0009703
                      5,                0.82137,                 0.5858,                 1.0884,                0.97777,                0.69406,                0.75248,                0.56812,                 1.4126,                 2.6473,                 1.9112,              0.0009604,              0.0009604,              0.0009604
                      6,                0.80514,                0.55469,                 1.0704,                0.93626,                0.73874,                0.82982,                 0.6217,                  1.293,                 1.1402,                 1.7336,              0.0009505,              0.0009505,              0.0009505
                      7,                0.76544,                0.55689,                 1.0662,                0.93397,                0.70907,                0.83952,                 0.6511,                 1.1163,                0.99921,                 1.6238,              0.0009406,              0.0009406,              0.0009406
                      8,                0.73197,                0.51545,                 1.0304,                0.89214,                0.70611,                0.75593,                0.58764,                 1.3015,                 1.3839,                 1.8228,              0.0009307,              0.0009307,              0.0009307
                      9,                0.69589,                0.49285,                 1.0205,                0.98727,                 0.7643,                0.85011,                0.68819,                 1.0081,                0.94113,                 1.5337,              0.0009208,              0.0009208,              0.0009208
                     10,                0.70196,                0.48351,                 1.0214,                0.89535,                 0.7341,                0.84803,                0.64937,                 1.3402,                 1.0794,                 1.9493,              0.0009109,              0.0009109,              0.0009109
                     11,                0.69886,                0.48847,                 1.0221,                 0.9581,                0.65976,                0.68725,                0.58471,                 1.1827,                  1.794,                 1.6779,               0.000901,               0.000901,               0.000901
                     12,                0.67238,                0.47169,                 1.0162,                0.88649,                 0.8164,                 0.8952,                0.66347,                 1.2328,                 0.9461,                 1.7431,              0.0008911,              0.0008911,              0.0008911
                     13,                0.69452,                0.47985,                 1.0126,                0.87206,                  0.847,                0.87528,                0.63056,                 1.3501,                0.92804,                 1.8443,              0.0008812,              0.0008812,              0.0008812
                     14,                0.65616,                 0.4665,                0.99978,                 0.8812,                0.80079,                0.82972,                0.66659,                  1.176,                0.98768,                 1.7359,              0.0008713,              0.0008713,              0.0008713
                     15,                0.65924,                0.46608,                0.99898,                 0.8992,                0.79176,                0.87496,                0.64893,                 1.2477,                  1.041,                 1.6793,              0.0008614,              0.0008614,              0.0008614
                     16,                0.63847,                0.44895,                0.98293,                0.92585,                0.73878,                0.84841,                0.67291,                  1.255,                 1.0831,                  1.845,              0.0008515,              0.0008515,              0.0008515
                     17,                0.62375,                0.43289,                0.98725,                 0.9188,                0.87771,                0.89573,                0.68976,                 1.2619,                 0.8258,                  1.763,              0.0008416,              0.0008416,              0.0008416
                     18,                0.62829,                0.43561,                0.98403,                0.94561,                0.90631,                0.92384,                0.73413,                 1.0996,                0.70554,                 1.7358,              0.0008317,              0.0008317,              0.0008317
                     19,                0.62268,                0.43217,                0.98296,                0.93857,                0.88067,                0.91538,                0.68663,                 1.1658,                 0.8197,                 1.6581,              0.0008218,              0.0008218,              0.0008218
                     20,                0.61239,                0.41221,                0.97341,                0.91165,                0.78355,                0.88554,                0.66766,                 1.2754,                  1.098,                 1.8351,              0.0008119,              0.0008119,              0.0008119
                     21,                0.62602,                 0.4285,                0.97999,                0.96262,                0.78728,                0.87939,                0.69394,                 1.0422,                 1.0605,                  1.503,               0.000802,               0.000802,               0.000802
                     22,                0.59968,                0.39576,                0.97406,                0.93697,                0.79159,                0.88302,                0.72033,                 1.0629,                  1.061,                 1.5797,              0.0007921,              0.0007921,              0.0007921
                     23,                0.58135,                0.40716,                0.96221,                0.90901,                0.86095,                0.92088,                0.70431,                 1.1603,                 0.8536,                 1.6913,              0.0007822,              0.0007822,              0.0007822
                     24,                0.57567,                0.39613,                0.95077,                0.92549,                0.75641,                0.86094,                0.70012,                 1.0637,                 1.1401,                 1.5598,              0.0007723,              0.0007723,              0.0007723
                     25,                0.57464,                0.38158,                0.93869,                0.93253,                0.80417,                0.85825,                0.69215,                 1.0919,                 1.1682,                 1.6071,              0.0007624,              0.0007624,              0.0007624
                     26,                 0.5706,                0.38451,                0.94334,                0.89003,                0.85407,                0.91648,                0.73481,                 1.1252,                0.95451,                 1.6917,              0.0007525,              0.0007525,              0.0007525
                     27,                0.55626,                0.37642,                0.95043,                0.94523,                0.79987,                 0.8771,                0.68191,                   1.13,                 1.0417,                 1.6078,              0.0007426,              0.0007426,              0.0007426
                     28,                0.56511,                0.36745,                0.94642,                0.96594,                0.83908,                0.91713,                0.75014,                0.93876,                0.82241,                 1.4178,              0.0007327,              0.0007327,              0.0007327
                     29,                0.55618,                 0.3772,                0.95273,                0.91991,                0.77909,                0.89629,                0.72154,                 1.0573,                 1.1162,                 1.6029,              0.0007228,              0.0007228,              0.0007228
                     30,                0.53584,                0.35592,                0.94359,                0.96032,                0.83535,                0.91096,                0.74322,                0.96063,                0.90714,                 1.4864,              0.0007129,              0.0007129,              0.0007129
                     31,                0.53484,                0.34974,                0.94569,                 0.9048,                0.81543,                0.87622,                0.69345,                  1.209,                 1.0141,                  1.792,               0.000703,               0.000703,               0.000703
                     32,                0.56059,                0.37509,                0.94598,                0.88905,                0.83432,                0.87406,                0.70592,                 1.2121,                 1.0046,                 1.7452,              0.0006931,              0.0006931,              0.0006931
                     33,                0.53029,                0.36421,                0.94053,                 0.9068,                0.70047,                0.83154,                0.70564,                 1.0466,                 1.3701,                 1.5184,              0.0006832,              0.0006832,              0.0006832
                     34,                0.52098,                0.36635,                0.93274,                0.95545,                0.89645,                0.92142,                0.73491,                 1.0398,                0.71451,                  1.526,              0.0006733,              0.0006733,              0.0006733
