                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3669,                 10.072,                 2.4076,                0.44673,                 0.4576,                0.28408,                0.17934,                 2.5665,                 5.8048,                 2.8532,             0.00027436,             0.00027436,             0.00027436
                      2,                 2.2458,                 3.7401,                 2.3676,                0.42778,                0.31116,                0.22974,                 0.1346,                  2.596,                 7.1385,                 3.0093,             0.00054656,             0.00054656,             0.00054656
                      3,                 2.2146,                 3.0535,                 2.3744,                  0.308,                0.22993,                0.11788,                0.06314,                 3.5705,                 6.7008,                 3.9048,             0.00081327,             0.00081327,             0.00081327
                      4,                 2.2231,                 2.6601,                 2.4143,                0.44387,                0.31293,                0.26206,                0.15844,                 3.1046,                 4.5316,                 3.2752,             0.00080826,             0.00080826,             0.00080826
                      5,                 2.2019,                  2.302,                 2.3551,                0.45469,                0.24637,                0.19365,                0.12366,                 3.1022,                 7.7823,                 3.3787,             0.00080001,             0.00080001,             0.00080001
                      6,                  2.127,                  2.253,                 2.3243,                0.43924,                0.27936,                  0.243,                0.15204,                 3.0777,                 5.5133,                 3.2274,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.9845,                 2.0881,                 2.2306,                0.64883,                0.36417,                0.38878,                0.26452,                 2.6986,                 3.7761,                 2.9203,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.9774,                 1.9969,                 2.2278,                0.60024,                0.34966,                0.39348,                0.25881,                 2.7622,                 3.8709,                 2.9566,             0.00077527,             0.00077527,             0.00077527
                      9,                 2.0011,                 1.9274,                 2.2347,                 0.5988,                0.35524,                0.37565,                0.24826,                 2.9366,                 3.8841,                  3.097,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.8895,                 1.8356,                 2.1887,                0.36592,                0.37539,                0.36463,                0.25635,                  2.585,                 4.0157,                 2.7678,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.8058,                 1.6932,                 2.1581,                0.38226,                0.43212,                0.40843,                0.27496,                 2.5638,                 3.8855,                 2.7571,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.7579,                 1.6025,                 2.1183,                0.66167,                0.43437,                0.49754,                0.34622,                 2.4093,                 3.0077,                 2.7532,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.7846,                 1.6284,                 2.1332,                 0.5421,                0.39547,                0.42417,                0.29832,                 2.5378,                 4.0365,                 2.8411,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.7954,                  1.548,                 2.1358,                0.45756,                0.42926,                0.41248,                0.27999,                  2.611,                 4.1712,                 2.8882,             0.00072579,             0.00072579,             0.00072579
                     15,                  1.752,                 1.4839,                  2.108,                0.47754,                0.33905,                0.37999,                0.27062,                 2.8253,                 5.1003,                 2.9417,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.6896,                  1.427,                 2.0868,                0.61002,                0.39883,                0.43449,                0.27992,                 2.7775,                 3.9601,                 2.9942,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.6927,                 1.4155,                 2.0722,                0.48447,                0.47562,                0.48322,                0.32891,                 2.6328,                  3.588,                 2.8032,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.6215,                 1.3522,                 2.0575,                0.68036,                0.40539,                0.47434,                0.32787,                 2.6332,                 3.6857,                 2.7901,             0.00069281,             0.00069281,             0.00069281
                     19,                  1.647,                 1.3274,                 2.0798,                0.57418,                0.43069,                0.47946,                0.33614,                 2.5349,                 3.2937,                 2.7896,             0.00068456,             0.00068456,             0.00068456
