                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7062,                  1.715,                 1.1202,                0.86981,                0.67507,                0.76519,                0.34601,                 1.8661,                 1.4175,                 1.3262,               0.067524,             0.00032804,             0.00032804
                      2,                  1.518,                0.82091,                 1.0737,                0.88612,                0.72923,                0.79483,                0.41667,                  1.681,                 1.2142,                 1.2169,               0.034517,             0.00065483,             0.00065483
                      3,                 1.5532,                0.79948,                 1.0535,                0.82182,                0.63212,                 0.7213,                0.35444,                 1.8122,                 1.4498,                  1.258,              0.0015041,             0.00097501,             0.00097501
                      4,                 1.5224,                0.77224,                 1.0609,                0.89892,                0.70579,                0.80415,                0.40586,                 1.8109,                 1.1055,                 1.2909,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.5173,                0.76738,                 1.0597,                0.83139,                0.73203,                 0.7957,                0.39223,                 1.7863,                 1.1514,                 1.2593,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.4993,                0.72776,                 1.0386,                0.84551,                0.68476,                0.78333,                0.36379,                 1.9421,                 1.2328,                 1.3335,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.4525,                0.70176,                 1.0369,                0.83168,                0.72736,                0.79049,                0.37267,                 1.8282,                 1.2206,                 1.2526,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.4492,                0.72282,                 1.0251,                0.89083,                 0.7451,                0.81222,                0.39293,                 1.8264,                  1.106,                 1.2638,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.4165,                0.67677,                 1.0105,                0.86321,                0.75417,                0.81878,                0.41779,                 1.7421,                 1.0793,                 1.2234,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.3748,                0.65941,                 1.0338,                0.89147,                0.71328,                 0.8187,                0.42181,                 1.7325,                 1.0716,                 1.2111,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.4063,                0.66536,                 1.0054,                 0.8679,                0.79925,                0.86046,                0.42748,                  1.727,                0.91694,                 1.2202,               0.000901,               0.000901,               0.000901
                     12,                 1.3951,                0.63914,                0.99844,                0.89785,                0.75163,                0.83641,                0.43856,                 1.7017,                  1.017,                 1.1894,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.3593,                0.63875,                0.98826,                0.90041,                0.77965,                0.86435,                0.45766,                 1.6755,                0.95062,                 1.2076,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.3557,                0.62177,                 1.0013,                0.88941,                0.78058,                0.85216,                0.44589,                 1.6876,                0.94644,                 1.1968,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.3025,                0.61047,                0.98789,                0.89404,                0.71335,                0.80912,                0.41223,                 1.7262,                 1.3398,                 1.1853,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.3267,                0.63033,                0.99194,                 0.8915,                0.76717,                0.85012,                 0.4344,                 1.7275,                0.92945,                 1.2197,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.3171,                0.59577,                0.99332,                0.91328,                0.79085,                0.85757,                0.46311,                 1.6747,                0.90625,                 1.1859,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.3376,                0.59486,                0.98873,                0.90893,                0.76937,                0.85896,                0.41837,                 1.7354,                0.91987,                 1.2283,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.2931,                0.58664,                0.97846,                0.89763,                0.76961,                0.84315,                0.42237,                 1.7859,                0.96996,                 1.2407,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.2879,                0.57436,                0.98611,                0.91799,                0.74136,                0.84728,                0.42413,                 1.7587,                0.98757,                 1.2255,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.3032,                0.58277,                0.98228,                0.92239,                 0.7451,                0.84887,                0.47629,                 1.6428,                 1.0354,                 1.1811,               0.000802,               0.000802,               0.000802
                     22,                  1.271,                0.57574,                  0.992,                0.87236,                 0.7977,                0.85226,                0.45838,                 1.6791,                0.92865,                 1.1948,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.2547,                0.57072,                0.96306,                0.92897,                0.81139,                0.89549,                0.49518,                 1.6261,                0.85323,                 1.1621,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.2313,                0.56617,                0.96418,                0.91826,                0.78992,                0.87111,                0.47797,                 1.6275,                 0.8874,                 1.1532,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.2645,                0.57459,                0.96124,                0.92369,                0.78338,                0.87938,                0.44355,                  1.726,                 0.8901,                 1.2033,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.2464,                0.55457,                0.97172,                 0.9125,                0.81796,                0.88579,                0.47569,                 1.6642,                0.88378,                 1.1894,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.2293,                0.55069,                0.96364,                0.91916,                0.79625,                0.86071,                0.44849,                 1.6782,                 0.9131,                  1.191,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.2602,                 0.5705,                0.96174,                0.87288,                0.79458,                0.86429,                0.45621,                 1.6563,                0.95267,                 1.1568,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.2391,                0.55386,                0.96305,                0.91387,                0.78338,                0.87759,                0.48953,                 1.6092,                0.93532,                 1.1619,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.2261,                 0.5549,                0.95565,                0.88171,                0.78898,                0.86845,                0.45982,                 1.6574,                0.92792,                 1.1867,              0.0007129,              0.0007129,              0.0007129
                     31,                  1.245,                0.54585,                0.96113,                 0.9328,                0.81651,                0.88505,                0.48305,                 1.6161,                0.83861,                 1.1647,               0.000703,               0.000703,               0.000703
                     32,                 1.2112,                0.54794,                0.95375,                0.90986,                0.81513,                0.87619,                 0.4441,                 1.6898,                0.80966,                 1.1982,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.1999,                0.52407,                0.93215,                0.89895,                0.77252,                 0.8744,                 0.4931,                 1.6675,                 1.0597,                 1.1885,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.2065,                0.54117,                0.94593,                0.90518,                 0.7933,                0.88098,                0.48248,                 1.6157,                  0.855,                 1.1693,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.1924,                0.54148,                0.95013,                0.91679,                0.79832,                0.87297,                0.46199,                 1.7022,                0.83813,                 1.2103,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.1609,                0.52209,                 0.9334,                0.93179,                0.78338,                0.89926,                0.50641,                 1.6015,                0.85004,                 1.1662,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.1566,                0.50911,                0.95093,                0.88864,                0.77684,                0.86361,                0.46656,                 1.6803,                0.97069,                 1.1817,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.1303,                0.51079,                0.93716,                0.90934,                0.81606,                0.88525,                0.48929,                 1.6047,                0.78782,                 1.1722,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.1739,                0.51387,                0.93231,                0.93479,                0.76292,                0.86485,                0.49212,                 1.5825,                0.88812,                 1.1538,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.1715,                0.50362,                0.93902,                0.88236,                 0.8194,                0.88955,                0.49225,                  1.613,                0.86591,                 1.1633,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.1361,                0.49422,                0.93287,                0.93681,                0.79739,                 0.8964,                0.50166,                 1.6318,                0.85532,                 1.1781,               0.000604,               0.000604,               0.000604
                     42,                 1.1216,                0.49599,                0.93527,                 0.9014,                0.77031,                0.86114,                0.46432,                 1.7187,                0.95413,                 1.2268,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.1563,                0.52117,                0.94097,                0.92666,                0.80952,                0.89309,                0.50571,                 1.5892,                0.89116,                 1.1449,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.1427,                0.50575,                0.92841,                0.91358,                 0.8226,                0.89938,                 0.5173,                 1.5503,                0.83341,                 1.1361,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.1534,                 0.4938,                0.92148,                0.90552,                0.80952,                0.88816,                0.48958,                 1.6392,                0.78581,                  1.197,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.1213,                0.47608,                0.92075,                0.89268,                0.79216,                0.87832,                0.49912,                 1.6063,                0.96164,                 1.1572,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.1349,                0.47706,                0.92769,                0.91965,                0.81218,                0.89575,                0.50485,                 1.6208,                0.86286,                 1.1719,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.1123,                0.47472,                0.92755,                 0.9304,                 0.7988,                 0.8823,                0.49369,                 1.5649,                0.84573,                 1.1442,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.1212,                0.49387,                 0.9234,                 0.9141,                0.82166,                 0.8892,                0.50558,                 1.5936,                 0.8372,                 1.1553,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.0892,                0.47683,                0.91881,                0.88671,                0.81886,                0.88223,                0.47721,                  1.655,                0.83835,                 1.1762,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.1067,                0.46398,                0.92164,                0.91794,                0.79645,                0.88586,                0.49646,                 1.6282,                0.84869,                 1.1855,               0.000505,               0.000505,               0.000505
                     52,                 1.0979,                0.47582,                 0.9109,                0.93136,                0.81087,                0.90831,                0.50072,                 1.5976,                0.80849,                 1.1627,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.1022,                0.47738,                 0.9197,                0.89874,                0.82046,                0.89797,                0.48111,                 1.6352,                0.79229,                 1.1682,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.0867,                0.46912,                0.90785,                 0.8996,                0.81046,                0.89812,                0.49702,                 1.6206,                0.81138,                 1.1758,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.0498,                0.45619,                0.89665,                0.90594,                0.81326,                0.88921,                0.49492,                  1.639,                 0.8281,                 1.1851,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.0693,                 0.4477,                0.90955,                0.92725,                0.80299,                0.88346,                0.49026,                 1.6021,                0.81221,                  1.167,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.0956,                0.46434,                0.90907,                0.89693,                0.81249,                0.88892,                0.50907,                 1.5969,                0.83117,                 1.1748,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.0967,                0.47683,                0.90789,                0.90094,                0.78972,                0.87008,                0.49431,                 1.5879,                0.91294,                 1.1491,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.0763,                0.46376,                0.91219,                0.91992,                0.81606,                0.89785,                0.50665,                 1.5728,                0.81459,                 1.1404,              0.0004258,              0.0004258,              0.0004258
                     60,                  1.076,                0.45076,                0.91506,                0.91184,                0.83847,                0.90649,                 0.5045,                 1.5889,                0.73995,                 1.1573,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.0454,                0.44793,                0.90843,                0.94615,                0.80386,                0.90158,                0.50856,                 1.5857,                0.75552,                 1.1428,               0.000406,               0.000406,               0.000406
                     62,                  1.029,                0.44638,                0.89743,                0.90322,                0.82786,                0.89918,                0.50663,                 1.6197,                0.82514,                 1.1589,              0.0003961,              0.0003961,              0.0003961
                     63,                  1.044,                0.43718,                0.90018,                0.90821,                0.82223,                0.89728,                0.49184,                  1.622,                0.82292,                 1.1691,              0.0003862,              0.0003862,              0.0003862
                     64,                  1.064,                0.45499,                0.89329,                0.91208,                0.79645,                 0.8879,                0.48621,                  1.637,                 0.8035,                 1.1754,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.0139,                0.44872,                0.90527,                0.93146,                0.80112,                 0.9051,                 0.5114,                 1.6094,                0.79609,                 1.1631,              0.0003664,              0.0003664,              0.0003664
                     66,                  1.044,                0.44838,                0.89784,                0.93898,                0.81903,                0.91514,                0.51173,                 1.6011,                0.78086,                 1.1585,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.0239,                0.43867,                0.89283,                0.92262,                0.84127,                0.91345,                0.51235,                 1.6005,                0.73109,                 1.1686,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.0375,                0.43593,                0.89353,                0.92025,                0.80486,                0.89338,                  0.513,                 1.6021,                0.79102,                 1.1685,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.0344,                0.44371,                0.90349,                0.91153,                0.81771,                0.89831,                0.51172,                 1.6194,                 0.8019,                 1.1666,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.0547,                0.44642,                0.90417,                 0.9266,                0.84869,                0.91671,                0.50951,                 1.6149,                0.76367,                  1.171,              0.0003169,              0.0003169,              0.0003169
                     71,                0.98772,                 0.4167,                0.88801,                0.93381,                0.84302,                0.90937,                0.50374,                 1.6222,                0.77968,                 1.1731,               0.000307,               0.000307,               0.000307
                     72,                0.99297,                 0.4217,                0.88796,                0.91053,                0.84874,                0.91219,                0.51999,                 1.5832,                0.72649,                 1.1666,              0.0002971,              0.0002971,              0.0002971
                     73,                0.97236,                0.41103,                0.89468,                0.92575,                0.83818,                0.91269,                0.51714,                 1.5974,                0.73873,                 1.1675,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.0178,                0.43427,                0.89081,                0.90579,                0.84127,                0.90285,                 0.5131,                 1.5761,                0.76282,                 1.1492,              0.0002773,              0.0002773,              0.0002773
                     75,                0.98845,                0.42012,                 0.8902,                0.91613,                0.84314,                0.91725,                0.52561,                   1.56,                0.74502,                 1.1457,              0.0002674,              0.0002674,              0.0002674
                     76,                0.98606,                0.41662,                0.88696,                0.91547,                 0.8292,                0.91064,                0.52837,                 1.5623,                0.75069,                 1.1547,              0.0002575,              0.0002575,              0.0002575
                     77,                 0.9536,                0.40142,                0.88457,                0.93157,                0.81419,                0.89761,                0.51346,                 1.5942,                  0.792,                 1.1679,              0.0002476,              0.0002476,              0.0002476
                     78,                0.97917,                0.40262,                0.87927,                0.91675,                0.83289,                 0.8945,                0.49372,                 1.6425,                0.76817,                 1.1867,              0.0002377,              0.0002377,              0.0002377
                     79,                0.95249,                0.40979,                0.87478,                0.92932,                0.84407,                0.91365,                0.51175,                 1.6103,                0.75471,                 1.1739,              0.0002278,              0.0002278,              0.0002278
                     80,                0.95966,                0.40674,                0.88304,                0.92382,                 0.8366,                0.90943,                0.51193,                 1.6217,                0.77852,                 1.1784,              0.0002179,              0.0002179,              0.0002179
