                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2891,                 2.5112,                 1.3524,                0.46741,                0.40517,                0.31751,                0.20942,                 1.4435,                   2.52,                 1.5667,               0.067524,             0.00032804,             0.00032804
                      2,                 1.1024,                 1.4515,                 1.2169,                0.45854,                0.26983,                0.25662,                0.17484,                  1.439,                 2.8986,                 1.6267,               0.034517,             0.00065483,             0.00065483
                      3,                 1.0481,                 1.2174,                 1.1798,                0.39966,                 0.3026,                0.31716,                0.19881,                 1.4964,                 3.3698,                 1.8008,              0.0015041,             0.00097501,             0.00097501
                      4,                 1.0023,                 1.0764,                 1.1746,                0.53799,                0.32118,                0.33478,                0.23346,                 1.2935,                 2.7026,                 1.5781,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0151,                   1.15,                 1.1966,                0.70767,                  0.301,                  0.353,                  0.248,                 1.3729,                 2.9731,                 1.6461,              0.0009604,              0.0009604,              0.0009604
                      6,                0.96989,                 1.0059,                 1.1625,                0.62809,                0.36525,                0.38032,                0.24985,                 1.5361,                 2.4282,                 1.7433,              0.0009505,              0.0009505,              0.0009505
                      7,                0.94789,                0.95965,                 1.1509,                0.61412,                0.42086,                0.44345,                0.31295,                 1.2108,                  1.881,                 1.4739,              0.0009406,              0.0009406,              0.0009406
                      8,                0.91853,                0.93282,                 1.1208,                0.66983,                0.40482,                0.44814,                0.30579,                 1.3187,                  1.874,                 1.5588,              0.0009307,              0.0009307,              0.0009307
                      9,                0.90847,                0.84453,                 1.1185,                0.54251,                0.44157,                0.44412,                0.30339,                 1.2942,                 1.9453,                 1.5361,              0.0009208,              0.0009208,              0.0009208
                     10,                0.87793,                0.81338,                 1.1058,                0.48675,                0.42073,                0.45054,                 0.3261,                 1.2414,                 1.8927,                 1.4847,              0.0009109,              0.0009109,              0.0009109
                     11,                0.87708,                0.77613,                 1.0983,                0.46805,                0.45672,                0.47214,                0.32692,                 1.2747,                 1.7443,                  1.517,               0.000901,               0.000901,               0.000901
                     12,                0.84713,                0.78299,                 1.0897,                0.67985,                 0.3816,                 0.4454,                0.32278,                 1.1869,                 1.8791,                 1.4355,              0.0008911,              0.0008911,              0.0008911
