                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9492,                  6.611,                 2.6352,                0.17207,                0.17489,                 0.0764,                0.01931,                 5.3742,                 23.824,                 7.0225,             0.00065873,             0.00065873,             0.00065873
                      2,                  3.219,                 2.7585,                 2.7061,                0.10546,                0.20433,                0.06421,                0.02792,                 4.0855,                 24.331,                 4.2129,              0.0013123,              0.0013123,              0.0013123
                      3,                 3.1275,                 2.4685,                 2.7042,                0.29914,                0.21126,                0.20464,                0.09706,                 4.1418,                 19.621,                 3.8999,              0.0019526,              0.0019526,              0.0019526
                      4,                 3.1532,                 2.4686,                 2.7142,                0.29921,                0.25022,                 0.2564,                0.11494,                 4.5365,                  7.473,                 4.2931,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.9513,                 2.2757,                 2.5696,                0.50778,                0.26234,                0.28935,                0.16478,                 4.0686,                 5.9559,                  3.774,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.8357,                 2.0262,                 2.5162,                0.74136,                0.61547,                0.70868,                0.42152,                 3.2354,                 3.0226,                 3.0436,               0.001901,               0.001901,               0.001901
                      7,                 2.6805,                 1.8275,                 2.4218,                0.67926,                0.45887,                0.51103,                0.26131,                 4.1579,                 4.1128,                 3.9632,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6742,                 1.8326,                 2.4189,                 0.6999,                0.48485,                0.54563,                0.29337,                 3.6564,                 3.7738,                 3.2973,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.5266,                 1.6147,                 2.3789,                0.59869,                0.51169,                 0.5526,                0.27374,                 4.1273,                 3.6412,                 3.7862,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.4781,                 1.6019,                 2.2925,                0.72889,                0.32588,                 0.3566,                0.19056,                  4.254,                 5.9718,                 3.7544,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.4494,                 1.5354,                  2.282,                 0.7702,                0.66667,                0.74957,                0.42595,                 3.2852,                 2.4273,                 3.0139,               0.001802,               0.001802,               0.001802
                     12,                 2.4313,                  1.528,                 2.2753,                 0.7175,                0.47939,                0.56517,                0.28936,                 4.1351,                 3.4386,                 3.8447,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.337,                 1.4638,                 2.2576,                0.82671,                0.72814,                0.81138,                0.46722,                 3.0341,                 2.2577,                 2.8798,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2933,                    1.4,                 2.2335,                0.71176,                0.69004,                0.73566,                0.42933,                 3.1288,                 2.9738,                 2.8937,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1962,                 1.3018,                 2.2076,                0.82183,                0.68918,                0.76582,                0.46492,                 2.9796,                 2.3556,                 2.8392,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2333,                 1.3113,                 2.1726,                0.76722,                0.63064,                0.69282,                0.39914,                 3.3882,                 3.1741,                 3.0554,               0.001703,               0.001703,               0.001703
                     17,                  2.226,                 1.3358,                 2.1997,                0.80027,                 0.6303,                0.73098,                0.43518,                 3.2093,                 2.5582,                 2.9647,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1562,                 1.2686,                 2.1686,                0.77919,                0.65368,                0.73141,                0.39925,                 3.7153,                 2.5447,                 3.4107,              0.0016634,              0.0016634,              0.0016634
                     19,                   2.22,                 1.2943,                 2.1766,                0.66804,                 0.4961,                0.58144,                0.33784,                  3.661,                 3.7839,                 3.4452,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1081,                  1.275,                 2.1227,                0.78941,                0.55758,                0.63927,                0.37872,                 3.4318,                 3.5296,                 3.1537,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.1142,                 1.1918,                 2.1117,                0.82759,                0.72987,                0.81395,                0.52363,                 2.8438,                 2.0735,                 2.7059,               0.001604,               0.001604,               0.001604
                     22,                  2.077,                  1.158,                 2.0987,                0.82368,                0.68225,                0.77671,                0.46979,                 3.1559,                 2.6451,                 2.9711,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0022,                  1.188,                 2.1003,                0.84643,                0.73488,                0.81543,                0.45868,                 3.2878,                 2.0683,                 3.0578,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0505,                 1.1905,                 2.0957,                0.88317,                0.76883,                0.87285,                0.56152,                 2.6395,                 1.6776,                 2.5597,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0763,                  1.131,                 2.1116,                 0.8659,                0.65971,                0.75304,                0.43978,                 3.4689,                 2.7602,                 3.1753,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0104,                 1.1083,                 2.0712,                0.86194,                0.77298,                0.85264,                0.54456,                 2.8027,                 1.8415,                 2.6636,               0.001505,               0.001505,               0.001505
                     27,                 2.0059,                  1.085,                 2.0743,                0.85137,                0.74545,                0.83306,                0.51985,                  2.921,                 1.9279,                 2.7331,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.0297,                 1.1093,                 2.1004,                0.79717,                0.70736,                 0.8007,                0.46555,                 3.3003,                 2.2313,                 3.0837,              0.0014654,              0.0014654,              0.0014654
