                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7181,                 1.9482,                  1.125,                0.34401,                  0.324,                0.16546,                0.07034,                    nan,                    nan,                    nan,             0.00065873,             0.00065873,             0.00065873
                      2,                 1.7192,                 1.0215,                 1.1484,                0.26655,                0.16993,                0.11053,                0.04353,                  2.858,                 17.762,                 2.3265,              0.0013123,              0.0013123,              0.0013123
                      3,                 1.6798,                 1.0079,                 1.1232,                0.65187,                0.52754,                0.51521,                0.23772,                 2.0604,                 2.9191,                 1.5417,              0.0019526,              0.0019526,              0.0019526
                      4,                 1.6888,                0.93192,                 1.1056,                0.72927,                0.51821,                 0.5576,                0.23551,                 2.1495,                 1.8275,                 1.4169,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5941,                0.82045,                 1.0683,                0.71585,                0.62335,                0.62232,                0.28586,                 1.9627,                 1.6921,                 1.3621,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5742,                0.81358,                 1.0597,                0.78944,                0.46909,                0.56754,                0.29512,                 2.0753,                  2.125,                 1.3937,               0.001901,               0.001901,               0.001901
                      7,                  1.527,                0.76182,                 1.0543,                0.81231,                  0.493,                0.57123,                0.26337,                 2.0223,                 2.0132,                 1.3556,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5072,                0.73449,                 1.0449,                0.87694,                0.65207,                0.76287,                 0.3755,                 1.8435,                 1.2961,                 1.2474,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.535,                 1.8802,                  1.086,                0.83679,                 0.6564,                0.73043,                0.36442,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5235,                0.76684,                 1.0576,                0.82561,                0.71148,                0.78803,                0.40983,                 1.7628,                 1.1459,                 1.2286,              0.0018218,              0.0018218,              0.0018218
                     11,                   1.47,                 0.7132,                 1.0386,                0.88128,                0.66293,                0.74726,                0.37609,                 1.8459,                 1.2964,                 1.2645,               0.001802,               0.001802,               0.001802
