                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1432,                 2.6421,                 1.2445,                0.47183,                0.35765,                0.33018,                0.22305,                 1.2119,                 2.3491,                  1.376,             0.00027436,             0.00027436,             0.00027436
                      2,                 1.0078,                 1.3537,                 1.1512,                0.54216,                0.43522,                0.42463,                0.28741,                 1.3106,                 1.8946,                 1.5188,             0.00054656,             0.00054656,             0.00054656
                      3,                 1.0192,                 1.2242,                 1.1638,                0.55853,                0.36625,                0.36392,                0.23825,                 1.3721,                 2.4524,                 1.5347,             0.00081327,             0.00081327,             0.00081327
                      4,                0.97666,                 1.1494,                 1.1461,                0.63448,                0.33157,                0.39528,                0.26781,                 1.3281,                 2.0004,                 1.5391,             0.00080826,             0.00080826,             0.00080826
                      5,                0.99134,                 1.0079,                 1.1474,                0.61344,                0.40737,                0.41242,                0.28551,                 1.3479,                 2.0642,                 1.5317,             0.00080001,             0.00080001,             0.00080001
                      6,                0.94584,                 1.0017,                 1.1161,                0.43143,                 0.3976,                0.36187,                0.24697,                 1.3334,                 2.1971,                 1.5289,             0.00079177,             0.00079177,             0.00079177
                      7,                0.88846,                0.85378,                 1.0909,                0.59637,                0.42075,                0.45126,                0.30635,                 1.3053,                 1.9092,                 1.5057,             0.00078352,             0.00078352,             0.00078352
                      8,                0.87992,                0.84028,                 1.0819,                0.71905,                0.43188,                 0.4678,                0.32529,                 1.2675,                 1.9733,                 1.4381,             0.00077527,             0.00077527,             0.00077527
                      9,                0.88792,                0.82662,                 1.0901,                0.54041,                0.35841,                0.37414,                0.25714,                 1.4137,                 2.1627,                 1.5515,             0.00076703,             0.00076703,             0.00076703
                     10,                0.86203,                 0.7759,                 1.0852,                0.68559,                0.48884,                0.55491,                0.39673,                 1.1703,                 1.5868,                 1.3876,             0.00075878,             0.00075878,             0.00075878
                     11,                0.82303,                0.74636,                 1.0638,                 0.7311,                0.43977,                0.51799,                0.36199,                 1.2605,                 1.6929,                 1.4521,             0.00075053,             0.00075053,             0.00075053
                     12,                 0.8248,                0.76177,                   1.05,                0.53213,                0.50424,                 0.4905,                0.35101,                 1.2314,                 1.7305,                 1.4342,             0.00074229,             0.00074229,             0.00074229
                     13,                0.83305,                0.73322,                 1.0639,                0.64065,                 0.4761,                0.52234,                0.37096,                 1.2445,                 1.5245,                 1.4559,             0.00073404,             0.00073404,             0.00073404
                     14,                0.81917,                0.68917,                 1.0497,                 0.6815,                0.46809,                0.52742,                0.37888,                 1.1973,                 1.7917,                 1.3916,             0.00072579,             0.00072579,             0.00072579
                     15,                0.79517,                0.66748,                 1.0471,                0.74683,                0.48392,                0.53649,                0.38793,                 1.2095,                 1.6446,                 1.4353,             0.00071755,             0.00071755,             0.00071755
                     16,                 0.7878,                0.64855,                 1.0355,                0.65031,                0.42565,                0.48876,                0.35602,                 1.2821,                 1.9393,                 1.4501,              0.0007093,              0.0007093,              0.0007093
                     17,                0.76818,                0.60944,                   1.03,                0.63747,                0.51809,                 0.5527,                0.39571,                 1.2073,                 1.6093,                 1.4446,             0.00070105,             0.00070105,             0.00070105
                     18,                0.75331,                0.59887,                 1.0211,                0.71256,                0.46349,                0.54302,                  0.395,                 1.1283,                 1.5408,                  1.345,             0.00069281,             0.00069281,             0.00069281
                     19,                0.75417,                0.59121,                 1.0217,                0.72693,                0.46209,                0.52319,                0.37753,                  1.233,                 1.8796,                 1.4262,             0.00068456,             0.00068456,             0.00068456
                     20,                0.72682,                0.57165,                0.99584,                0.70482,                 0.4699,                0.55395,                0.41399,                 1.1143,                 1.5692,                  1.341,             0.00067631,             0.00067631,             0.00067631
                     21,                0.74835,                0.60481,                 1.0048,                0.66735,                0.48827,                0.52085,                0.38046,                 1.1735,                 1.6957,                 1.3795,             0.00066807,             0.00066807,             0.00066807
                     22,                 0.7246,                0.56866,                 1.0054,                0.69641,                0.50364,                0.54508,                0.40798,                 1.1056,                 1.5452,                 1.3334,             0.00065982,             0.00065982,             0.00065982
                     23,                0.72489,                0.56484,                 1.0002,                0.55405,                0.57421,                0.58332,                0.43497,                 1.0863,                 1.5035,                 1.3392,             0.00065157,             0.00065157,             0.00065157
                     24,                0.72873,                0.54343,                0.99529,                0.63526,                0.52568,                0.53158,                0.37884,                 1.1595,                 1.7454,                  1.384,             0.00064333,             0.00064333,             0.00064333
                     25,                0.71145,                0.54191,                0.99891,                0.55839,                0.55175,                0.57771,                0.43227,                  1.114,                 1.6203,                 1.3725,             0.00063508,             0.00063508,             0.00063508
                     26,                0.70286,                0.50724,                0.98521,                0.64818,                  0.505,                0.58325,                0.42699,                 1.1486,                 1.6226,                 1.4068,             0.00062683,             0.00062683,             0.00062683
                     27,                0.69868,                0.50386,                0.99811,                0.64956,                0.55861,                0.56635,                0.41063,                 1.1359,                 1.5518,                 1.3541,             0.00061859,             0.00061859,             0.00061859
                     28,                  0.695,                0.49827,                0.99016,                0.52843,                0.56615,                0.54958,                0.40414,                 1.1111,                 1.6168,                 1.3549,             0.00061034,             0.00061034,             0.00061034
                     29,                0.68674,                0.49678,                0.98441,                0.71116,                0.49621,                0.57223,                0.43198,                 1.0941,                 1.6015,                  1.345,             0.00060209,             0.00060209,             0.00060209
                     30,                0.67703,                0.48133,                 0.9938,                 0.7287,                0.45922,                0.52024,                0.38719,                 1.1461,                 1.9453,                 1.3679,             0.00059385,             0.00059385,             0.00059385
                     31,                0.66287,                 0.4885,                0.97002,                0.70608,                0.49062,                0.56745,                 0.4336,                 1.0629,                 1.5943,                 1.3138,              0.0005856,              0.0005856,              0.0005856
                     32,                0.65725,                0.47957,                0.97046,                0.65645,                0.47281,                 0.5402,                0.41195,                 1.0941,                 1.8005,                 1.3413,             0.00057735,             0.00057735,             0.00057735
                     33,                0.65598,                0.45677,                0.96619,                0.66832,                0.50352,                0.57332,                0.43691,                 1.1172,                 1.6234,                  1.354,             0.00056911,             0.00056911,             0.00056911
                     34,                0.65497,                0.45596,                0.97142,                0.70925,                0.52134,                 0.5611,                0.42729,                 1.0903,                 1.7105,                 1.3671,             0.00056086,             0.00056086,             0.00056086
                     35,                0.66356,                0.45152,                 0.9754,                0.69394,                0.51848,                0.54914,                0.41365,                 1.1453,                 1.6546,                 1.4031,             0.00055261,             0.00055261,             0.00055261
                     36,                0.63799,                0.46328,                0.96318,                0.77471,                0.46479,                0.55564,                0.41884,                  1.132,                 1.8102,                 1.3641,             0.00054437,             0.00054437,             0.00054437
                     37,                0.63594,                0.46627,                0.95869,                0.66489,                0.47888,                0.52257,                0.39522,                 1.1447,                 1.9893,                 1.3433,             0.00053612,             0.00053612,             0.00053612
                     38,                0.62349,                0.43848,                0.94463,                0.74217,                0.49017,                0.57294,                0.43936,                 1.0537,                 1.6199,                 1.2552,             0.00052787,             0.00052787,             0.00052787
                     39,                0.63729,                0.44378,                0.96814,                0.64437,                0.49157,                0.55997,                0.42302,                 1.0893,                 1.7068,                 1.3338,             0.00051963,             0.00051963,             0.00051963
                     40,                0.62786,                0.43458,                 0.9549,                0.68547,                0.50421,                0.57194,                0.42966,                 1.0606,                 1.6721,                 1.3128,             0.00051138,             0.00051138,             0.00051138
                     41,                0.62161,                0.42483,                0.94948,                0.68557,                0.50789,                0.58458,                0.43339,                 1.0692,                 1.5303,                 1.3285,             0.00050313,             0.00050313,             0.00050313
                     42,                0.61862,                0.41328,                0.95634,                0.71785,                0.49056,                  0.579,                0.43651,                 1.0782,                 1.5836,                 1.3075,             0.00049489,             0.00049489,             0.00049489
                     43,                0.61757,                0.41023,                0.94229,                0.68554,                0.50912,                0.56839,                0.42889,                 1.0494,                 1.6208,                 1.3074,             0.00048664,             0.00048664,             0.00048664
                     44,                0.62314,                0.43286,                  0.952,                0.61563,                0.52487,                0.58135,                0.43842,                 1.0538,                 1.5088,                 1.3031,             0.00047839,             0.00047839,             0.00047839
                     45,                0.60976,                0.40307,                0.94644,                 0.7182,                0.51227,                0.58261,                0.43888,                 1.0615,                 1.6537,                 1.3026,             0.00047015,             0.00047015,             0.00047015
                     46,                0.60673,                0.40739,                0.94791,                0.71762,                0.50107,                0.56593,                0.42572,                 1.0868,                 1.6154,                 1.3178,              0.0004619,              0.0004619,              0.0004619
                     47,                0.60631,                 0.4012,                0.94089,                0.69249,                0.48312,                0.56072,                0.42049,                 1.1151,                 1.7316,                 1.3226,             0.00045365,             0.00045365,             0.00045365
                     48,                0.58232,                0.38295,                0.93935,                0.65302,                0.52857,                0.58148,                 0.4484,                 1.0427,                 1.5894,                 1.2878,             0.00044541,             0.00044541,             0.00044541
                     49,                0.59985,                0.38751,                0.93748,                0.75804,                 0.5096,                0.58362,                0.44317,                 1.0727,                 1.6698,                 1.2962,             0.00043716,             0.00043716,             0.00043716
                     50,                0.59232,                 0.3805,                0.93368,                0.68874,                 0.5317,                0.56529,                0.42692,                 1.0858,                 1.7016,                 1.3015,             0.00042891,             0.00042891,             0.00042891
                     51,                0.58205,                 0.3786,                0.92636,                0.56587,                0.55261,                0.57987,                0.43432,                 1.0693,                 1.7275,                 1.3257,             0.00042066,             0.00042066,             0.00042066
                     52,                0.57959,                 0.3842,                0.93204,                0.73567,                0.50937,                0.58232,                0.44204,                  1.108,                 1.6498,                 1.3473,             0.00041242,             0.00041242,             0.00041242
                     53,                0.56724,                0.38493,                0.92799,                0.66115,                0.53962,                0.60171,                 0.4611,                 1.0608,                 1.6402,                 1.3398,             0.00040417,             0.00040417,             0.00040417
                     54,                0.57125,                0.36795,                0.93564,                0.64152,                0.53519,                0.58784,                 0.4484,                 1.0776,                 1.6484,                 1.3307,             0.00039592,             0.00039592,             0.00039592
                     55,                0.56408,                0.35654,                0.92584,                 0.5959,                0.52084,                0.57866,                0.44132,                 1.0454,                 1.6439,                 1.2997,             0.00038768,             0.00038768,             0.00038768
                     56,                0.56501,                0.36357,                0.93185,                0.72888,                0.48066,                0.58682,                0.44291,                 1.0549,                 1.6158,                 1.3225,             0.00037943,             0.00037943,             0.00037943
                     57,                0.57905,                 0.3914,                0.92833,                0.65654,                0.55197,                0.59788,                0.44491,                  1.085,                 1.5943,                 1.2952,             0.00037118,             0.00037118,             0.00037118
                     58,                 0.5511,                0.35552,                0.90992,                0.57994,                0.59485,                0.61508,                0.46965,                 1.0636,                 1.6058,                 1.2972,             0.00036294,             0.00036294,             0.00036294
                     59,                0.54845,                0.34543,                0.90592,                0.65262,                0.54154,                0.58492,                0.44812,                 1.0635,                 1.6601,                 1.3108,             0.00035469,             0.00035469,             0.00035469
                     60,                0.55485,                0.35179,                  0.923,                0.68136,                 0.5292,                0.58674,                0.45145,                 1.0453,                  1.614,                 1.3187,             0.00034644,             0.00034644,             0.00034644
                     61,                0.55153,                0.33928,                0.91139,                0.64013,                0.53521,                0.57721,                0.44327,                  1.054,                 1.7177,                 1.2964,              0.0003382,              0.0003382,              0.0003382
                     62,                0.54638,                0.34817,                0.92585,                0.57038,                0.56682,                0.58271,                 0.4496,                 1.0449,                 1.7561,                 1.3109,             0.00032995,             0.00032995,             0.00032995
                     63,                0.53031,                0.33097,                0.90776,                0.67684,                 0.5414,                0.60034,                 0.4649,                 1.0212,                 1.6492,                  1.276,              0.0003217,              0.0003217,              0.0003217
                     64,                0.52272,                0.33924,                0.90634,                0.62448,                0.57364,                0.59699,                 0.4633,                 1.0213,                 1.6586,                  1.282,             0.00031346,             0.00031346,             0.00031346
                     65,                0.53404,                0.33498,                 0.9092,                0.72855,                0.51828,                0.59208,                0.46044,                 1.0057,                 1.6573,                 1.2853,             0.00030521,             0.00030521,             0.00030521
                     66,                0.53797,                0.34018,                0.90298,                0.64692,                 0.5327,                0.60116,                0.46374,                 1.0265,                 1.5636,                 1.2948,             0.00029696,             0.00029696,             0.00029696
                     67,                0.51594,                 0.3223,                0.90091,                0.58187,                0.58576,                0.60978,                0.47086,                 1.0122,                 1.6366,                   1.28,             0.00028872,             0.00028872,             0.00028872
                     68,                0.51791,                0.32508,                0.89079,                0.63168,                0.55041,                0.59076,                0.45625,                  1.032,                 1.6018,                 1.3104,             0.00028047,             0.00028047,             0.00028047
                     69,                0.50613,                0.31299,                0.89066,                0.71074,                0.51878,                0.60568,                0.47225,                 1.0142,                  1.581,                 1.2911,             0.00027222,             0.00027222,             0.00027222
                     70,                0.51779,                 0.3307,                0.90435,                0.60053,                0.56339,                0.59657,                0.45652,                 1.0275,                 1.5984,                 1.3059,             0.00026398,             0.00026398,             0.00026398
                     71,                0.51142,                0.31916,                0.89127,                0.73393,                 0.5184,                 0.5928,                0.45635,                 1.0065,                 1.5769,                 1.2745,             0.00025573,             0.00025573,             0.00025573
                     72,                0.51442,                0.31954,                0.89202,                0.70065,                0.53481,                0.60716,                0.46834,                 1.0173,                  1.588,                 1.3013,             0.00024748,             0.00024748,             0.00024748
