                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5612,                 2.3415,                 1.6308,                0.50171,                0.51866,                0.46185,                 0.2362,                 1.5985,                 3.3742,                 1.6146,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.0468,                 1.0157,                 1.2001,                0.35736,                0.58939,                0.39574,                0.21935,                 1.6048,                 6.1189,                 1.8628,             0.00081188,             0.00081188,             0.00081188
                      3,                 1.0054,                0.85501,                 1.1886,                0.14234,                0.43811,                0.11042,                0.04183,                 2.2205,                 16.389,                 2.5046,              0.0012154,              0.0012154,              0.0012154
                      4,                 1.0598,                0.88897,                 1.2346,                0.14222,                0.43222,                0.10228,                0.04714,                 2.0018,                 18.711,                 2.6258,              0.0016107,              0.0016107,              0.0016107
                      5,                0.99617,                0.78202,                 1.1934,                0.13943,                0.19057,                0.09479,                 0.0458,                 2.6532,                 6.9338,                 3.1373,              0.0019208,              0.0019208,              0.0019208
                      6,                0.97699,                0.72112,                 1.1724,                0.22668,                0.21611,                0.11703,                0.05299,                 2.7857,                 3.9724,                 3.1781,               0.001901,               0.001901,               0.001901
                      7,                0.95596,                0.69495,                 1.1518,                0.26729,                0.30845,                0.22095,                0.10358,                 1.9535,                 7.1554,                 2.0746,              0.0018812,              0.0018812,              0.0018812
                      8,                0.90222,                0.62405,                 1.1334,                0.61181,                0.50161,                0.52881,                0.31041,                 1.7094,                 2.1481,                 1.8992,              0.0018614,              0.0018614,              0.0018614
                      9,                0.86325,                0.58273,                 1.0999,                 0.6798,                0.50491,                0.52469,                0.29528,                 1.7812,                 1.9987,                 1.8595,              0.0018416,              0.0018416,              0.0018416
                     10,                0.87335,                 0.5715,                 1.1154,                0.68098,                0.49509,                0.49852,                 0.3311,                 1.7343,                 2.3897,                  2.025,              0.0018218,              0.0018218,              0.0018218
                     11,                0.84002,                0.55614,                 1.0932,                0.82922,                0.52467,                0.58551,                0.39089,                 1.6919,                 1.7254,                 1.9006,               0.001802,               0.001802,               0.001802
                     12,                0.80896,                0.55069,                 1.1049,                0.86921,                0.49312,                0.59094,                0.39614,                  1.462,                 1.7117,                 1.6034,              0.0017822,              0.0017822,              0.0017822
                     13,                0.82998,                  0.546,                 1.0811,                0.76048,                 0.5501,                0.61819,                0.40605,                 1.4614,                   1.63,                 1.5361,              0.0017624,              0.0017624,              0.0017624
                     14,                0.80835,                0.52114,                 1.0814,                0.76636,                0.44008,                0.53723,                0.33309,                 1.9376,                  2.104,                  1.981,              0.0017426,              0.0017426,              0.0017426
                     15,                0.81907,                 0.5268,                 1.0869,                0.69039,                0.52133,                0.55369,                0.36436,                 1.6127,                 2.0499,                 1.7572,              0.0017228,              0.0017228,              0.0017228
                     16,                0.80246,                0.52134,                  1.063,                 0.8589,                 0.5835,                0.69496,                0.47177,                 1.4643,                 1.4338,                 1.6198,               0.001703,               0.001703,               0.001703
                     17,                0.75303,                0.48693,                 1.0585,                0.79832,                0.48134,                0.55782,                0.38423,                 1.5869,                 1.9204,                 1.6816,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.7316,                 0.4868,                  1.055,                0.90075,                0.54224,                0.60016,                 0.4085,                 1.6376,                 1.8768,                 1.7948,              0.0016634,              0.0016634,              0.0016634
                     19,                0.73727,                0.46817,                 1.0349,                0.92992,                0.58546,                0.65941,                0.49397,                 1.3431,                 1.5905,                 1.4956,              0.0016436,              0.0016436,              0.0016436
                     20,                 0.7014,                0.45729,                 1.0189,                0.87625,                0.60904,                0.70208,                0.48296,                 1.3863,                 1.3029,                 1.5603,              0.0016238,              0.0016238,              0.0016238
                     21,                 0.7325,                0.46249,                 1.0484,                0.92237,                0.65361,                0.73656,                0.51586,                 1.2973,                 1.2207,                 1.4635,               0.001604,               0.001604,               0.001604
                     22,                0.71805,                0.45786,                 1.0367,                0.92948,                0.66798,                0.73097,                0.51711,                 1.3066,                 1.1964,                 1.4791,              0.0015842,              0.0015842,              0.0015842
                     23,                0.72083,                0.44267,                 1.0385,                0.93499,                 0.6444,                0.70408,                0.49214,                 1.3882,                 1.4875,                 1.5735,              0.0015644,              0.0015644,              0.0015644
                     24,                0.72551,                0.46141,                 1.0337,                0.92408,                0.66954,                 0.7241,                0.52118,                 1.3319,                 1.4017,                 1.4405,              0.0015446,              0.0015446,              0.0015446
                     25,                0.71187,                0.43508,                 1.0255,                 0.8951,                0.65226,                0.73876,                0.52917,                  1.272,                 1.3723,                 1.4396,              0.0015248,              0.0015248,              0.0015248
                     26,                  0.715,                0.44682,                 1.0113,                0.93512,                0.68173,                0.77148,                0.55107,                 1.2205,                0.99839,                 1.3797,               0.001505,               0.001505,               0.001505
                     27,                0.66625,                0.41846,                0.99715,                0.92734,                 0.6444,                0.70595,                0.52609,                 1.2333,                 1.4242,                 1.4387,              0.0014852,              0.0014852,              0.0014852
                     28,                0.69007,                0.41982,                 1.0056,                0.91427,                0.63458,                0.71123,                0.51985,                 1.4239,                 1.4853,                  1.591,              0.0014654,              0.0014654,              0.0014654
                     29,                0.68081,                0.41463,                 1.0099,                0.86126,                0.59136,                0.66293,                0.48671,                 1.3793,                 1.5434,                 1.5558,              0.0014456,              0.0014456,              0.0014456
                     30,                0.67183,                0.40284,                 1.0112,                0.87363,                0.63065,                0.69405,                0.49331,                 1.3903,                 1.4269,                 1.5827,              0.0014258,              0.0014258,              0.0014258
                     31,                0.67399,                0.40636,                 1.0147,                0.92351,                0.68369,                0.77438,                0.54359,                 1.4041,                 1.2601,                 1.5952,               0.001406,               0.001406,               0.001406
                     32,                0.71566,                0.42014,                 1.0216,                0.90872,                0.66208,                0.75487,                0.52152,                 1.3841,                 1.3054,                 1.5344,              0.0013862,              0.0013862,              0.0013862
                     33,                0.66548,                0.40327,                0.99748,                0.99018,                0.59418,                0.70914,                0.52481,                 1.4503,                 1.3889,                 1.6307,              0.0013664,              0.0013664,              0.0013664
                     34,                0.68326,                0.41082,                 1.0102,                0.93184,                0.62868,                0.75851,                0.53696,                 1.3578,                 1.2694,                 1.5225,              0.0013466,              0.0013466,              0.0013466
                     35,                0.61461,                0.36832,                0.97461,                0.87254,                0.64556,                0.74058,                0.52844,                 1.3086,                    1.3,                 1.4129,              0.0013268,              0.0013268,              0.0013268
                     36,                0.62482,                0.38045,                0.98544,                0.92401,                0.66886,                0.76724,                0.56292,                 1.2616,                 1.3499,                 1.4281,               0.001307,               0.001307,               0.001307
                     37,                0.65928,                0.39486,                 1.0015,                0.94557,                0.68566,                0.78212,                0.57258,                 1.2666,                 1.2776,                 1.4053,              0.0012872,              0.0012872,              0.0012872
                     38,                0.65693,                0.38035,                0.99453,                 0.9188,                0.64469,                0.75234,                0.55973,                 1.2867,                 1.4338,                 1.4278,              0.0012674,              0.0012674,              0.0012674
                     39,                0.63237,                0.36924,                0.99784,                0.98452,                0.62279,                0.74498,                0.56228,                 1.2818,                 1.5621,                 1.4525,              0.0012476,              0.0012476,              0.0012476
                     40,                0.64444,                0.38891,                0.99742,                0.98618,                0.64833,                0.73209,                0.53083,                 1.3251,                 1.5141,                 1.4928,              0.0012278,              0.0012278,              0.0012278
                     41,                  0.634,                0.36852,                0.98488,                0.95912,                0.69143,                0.78175,                 0.5778,                 1.2428,                 1.2904,                 1.3964,               0.001208,               0.001208,               0.001208
                     42,                0.65433,                0.38073,                0.98907,                0.90276,                0.71906,                 0.8021,                0.56798,                 1.3096,                 1.2733,                 1.4788,              0.0011882,              0.0011882,              0.0011882
                     43,                0.65149,                0.38471,                  1.004,                 0.9424,                0.58546,                0.65077,                0.46245,                   1.43,                 1.4844,                 1.5449,              0.0011684,              0.0011684,              0.0011684
                     44,                0.65436,                0.37758,                0.98529,                0.96703,                0.69159,                0.79108,                0.58724,                 1.2205,                 1.1975,                 1.3613,              0.0011486,              0.0011486,              0.0011486
                     45,                0.59206,                0.34796,                0.97569,                0.88528,                0.74263,                  0.825,                0.59571,                 1.2179,                 1.1103,                 1.3755,              0.0011288,              0.0011288,              0.0011288
                     46,                0.64001,                 0.3663,                0.99184,                0.96657,                0.68171,                0.75782,                0.56084,                 1.2048,                 1.2115,                 1.3541,               0.001109,               0.001109,               0.001109
                     47,                0.60251,                0.34682,                0.96523,                0.97481,                 0.6843,                0.76533,                0.56691,                 1.1713,                  1.132,                 1.3658,              0.0010892,              0.0010892,              0.0010892
                     48,                0.57979,                0.34044,                 0.9585,                0.88469,                0.70334,                0.79122,                0.57162,                 1.2366,                 1.1655,                 1.4528,              0.0010694,              0.0010694,              0.0010694
                     49,                0.57513,                0.34285,                0.95512,                0.96928,                 0.6199,                0.76149,                0.58497,                 1.2505,                 1.3134,                 1.4442,              0.0010496,              0.0010496,              0.0010496
                     50,                0.60526,                0.35348,                0.97471,                0.93441,                0.63065,                0.73245,                0.56118,                 1.2392,                 1.5011,                 1.4477,              0.0010298,              0.0010298,              0.0010298
                     51,                0.62982,                0.36393,                 1.0046,                0.93904,                0.66405,                0.77931,                0.56595,                 1.3422,                 1.4509,                 1.5489,                0.00101,                0.00101,                0.00101
                     52,                0.62826,                0.36135,                0.98392,                0.92387,                0.69146,                0.78279,                 0.5971,                 1.2564,                 1.5053,                 1.4467,              0.0009902,              0.0009902,              0.0009902
                     53,                0.59881,                0.33944,                0.96872,                0.95106,                0.68726,                 0.7656,                0.57578,                  1.233,                 1.4707,                 1.4018,              0.0009704,              0.0009704,              0.0009704
                     54,                0.58407,                 0.3389,                0.96185,                0.98302,                0.68224,                0.79216,                0.59177,                 1.1985,                 1.2853,                 1.4058,              0.0009506,              0.0009506,              0.0009506
                     55,                0.60496,                0.34624,                0.97021,                0.93071,                0.68566,                0.78653,                0.58951,                 1.2326,                 1.3517,                 1.4457,              0.0009308,              0.0009308,              0.0009308
                     56,                0.59123,                0.34124,                0.97047,                0.97034,                0.66405,                0.77294,                0.59104,                 1.2443,                 1.4713,                  1.441,               0.000911,               0.000911,               0.000911
                     57,                0.58752,                0.32476,                0.96676,                0.96899,                0.64637,                0.77579,                0.59688,                 1.2539,                   1.54,                 1.4449,              0.0008912,              0.0008912,              0.0008912
                     58,                0.56501,                0.32727,                0.96528,                0.99278,                0.65619,                0.78582,                0.60239,                 1.2428,                 1.4839,                 1.4387,              0.0008714,              0.0008714,              0.0008714
                     59,                0.56466,                0.32281,                0.94918,                0.94162,                0.66798,                0.75908,                0.57306,                 1.1962,                 1.4143,                 1.4409,              0.0008516,              0.0008516,              0.0008516
                     60,                0.58598,                0.32666,                0.97105,                0.97178,                0.64244,                0.79995,                0.58248,                 1.2327,                 1.3348,                 1.4894,              0.0008318,              0.0008318,              0.0008318
