                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.35,                 1.4893,                 1.3964,                0.66976,                0.86884,                0.70422,                0.33857,                 1.5991,                 7.6082,                 2.1923,             0.00065873,             0.00065873,             0.00065873
                      2,                 1.1143,                0.83069,                 1.2472,                0.09355,                0.67949,                0.07675,                0.04358,                 1.7321,                 33.775,                 2.1996,              0.0013123,              0.0013123,              0.0013123
                      3,                 1.0448,                 0.7803,                 1.1949,                0.00154,                0.14004,                0.00078,                0.00022,                 4.4528,                 175.03,                 23.195,              0.0019526,              0.0019526,              0.0019526
                      4,                 1.1099,                0.78595,                 1.2085,                0.36489,                0.29487,                0.23273,                0.12024,                 3.2265,                 4.2685,                 3.4555,              0.0019406,              0.0019406,              0.0019406
                      5,                0.98785,                0.70483,                 1.1668,                0.92249,                0.64553,                 0.7017,                 0.5397,                  1.362,                 2.0108,                 1.9777,              0.0019208,              0.0019208,              0.0019208
                      6,                0.94806,                0.68387,                 1.1673,                0.98849,                0.48422,                0.55635,                0.41331,                 2.2191,                 2.1319,                 2.6998,               0.001901,               0.001901,               0.001901
                      7,                0.90264,                0.64489,                 1.1072,                 0.8658,                0.74852,                0.82886,                0.56194,                 1.4417,                 1.1143,                 1.9875,              0.0018812,              0.0018812,              0.0018812
                      8,                0.83006,                0.60412,                  1.092,                0.96871,                0.64497,                0.71899,                0.52518,                 1.3771,                 1.9827,                 1.8073,              0.0018614,              0.0018614,              0.0018614
                      9,                 0.8134,                0.56604,                 1.0791,                0.92751,                0.70513,                0.79587,                0.60676,                 1.2511,                 1.0847,                 1.7276,              0.0018416,              0.0018416,              0.0018416
                     10,                0.77798,                0.54557,                 1.0637,                0.91428,                0.63116,                0.75657,                0.54822,                 1.5467,                 1.2235,                 2.3787,              0.0018218,              0.0018218,              0.0018218
                     11,                0.78354,                0.55962,                 1.0549,                0.91454,                0.73077,                0.81046,                0.60841,                 1.1985,                 1.0957,                 1.8438,               0.001802,               0.001802,               0.001802
                     12,                0.76036,                0.55023,                  1.046,                0.89944,                0.77811,                0.87265,                0.67196,                 1.0762,                0.86112,                  1.646,              0.0017822,              0.0017822,              0.0017822
                     13,                0.70755,                0.49968,                 1.0351,                0.90544,                0.73471,                0.82837,                0.60283,                 1.2395,                 1.0684,                 1.7457,              0.0017624,              0.0017624,              0.0017624
                     14,                0.71467,                0.49368,                 1.0262,                0.90897,                0.73077,                0.77543,                0.57782,                  1.269,                 1.4307,                 1.8197,              0.0017426,              0.0017426,              0.0017426
                     15,                0.69933,                0.47867,                 1.0335,                 0.9974,                0.58777,                0.69439,                0.57345,                 1.1449,                 1.8351,                 1.6814,              0.0017228,              0.0017228,              0.0017228
                     16,                0.68844,                0.45981,                 1.0115,                0.95942,                0.62948,                0.69399,                0.55721,                 1.2789,                 1.7825,                 1.8579,               0.001703,               0.001703,               0.001703
                     17,                0.69883,                0.47976,                 1.0103,                 0.9295,                0.55908,                0.62613,                 0.5155,                 1.5618,                 2.4037,                  2.166,              0.0016832,              0.0016832,              0.0016832
                     18,                0.64734,                0.44086,                 0.9898,                0.91006,                0.78895,                0.85667,                0.66978,                 1.1388,                0.96195,                 1.7096,              0.0016634,              0.0016634,              0.0016634
                     19,                0.66821,                0.45091,                 1.0038,                0.93285,                0.79463,                0.86603,                0.66104,                 1.2436,                0.92404,                 1.7123,              0.0016436,              0.0016436,              0.0016436
                     20,                0.66024,                0.44346,                0.99581,                0.87294,                0.84694,                0.89814,                0.68647,                  1.151,                0.79279,                 1.6761,              0.0016238,              0.0016238,              0.0016238
                     21,                0.66094,                0.45569,                0.99955,                0.92336,                0.79609,                0.85806,                0.64795,                 1.2978,                 1.0062,                 1.8082,               0.001604,               0.001604,               0.001604
                     22,                0.65215,                0.43475,                0.98635,                0.91336,                0.79389,                0.86989,                 0.6789,                 1.0817,                 1.0553,                 1.5965,              0.0015842,              0.0015842,              0.0015842
                     23,                0.62079,                0.41018,                0.96658,                0.94708,                0.77661,                0.85541,                0.68209,                 1.0223,                 1.1286,                 1.5224,              0.0015644,              0.0015644,              0.0015644
                     24,                0.58463,                0.40042,                0.96134,                0.91457,                0.69231,                0.78185,                0.61362,                 1.1783,                 1.4416,                 1.7753,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.6114,                0.42275,                0.97374,                0.95239,                0.78904,                0.84953,                0.65093,                 1.1863,                0.99885,                 1.6804,              0.0015248,              0.0015248,              0.0015248
                     26,                0.60969,                 0.4148,                0.97502,                0.95852,                  0.866,                0.93333,                0.71613,                 1.0117,                0.72923,                 1.6295,               0.001505,               0.001505,               0.001505
                     27,                0.57363,                0.39088,                0.95854,                0.92685,                0.85404,                0.91216,                0.72138,                0.97039,                0.73574,                 1.6739,              0.0014852,              0.0014852,              0.0014852
                     28,                0.58813,                0.40627,                0.95507,                0.97177,                0.68343,                0.73622,                0.60063,                 1.0535,                 1.4594,                 1.5688,              0.0014654,              0.0014654,              0.0014654
                     29,                0.60728,                0.39471,                0.95774,                0.95613,                0.92406,                 0.9382,                0.73352,                 1.0154,                0.61224,                 1.5747,              0.0014456,              0.0014456,              0.0014456
                     30,                0.56022,                0.38649,                0.94253,                0.96599,                0.89842,                0.92966,                0.71879,                 1.0436,                0.67495,                 1.5801,              0.0014258,              0.0014258,              0.0014258
                     31,                0.55802,                0.37376,                0.93198,                 0.9667,                0.85878,                0.91252,                0.72655,                   1.01,                0.75552,                 1.5438,               0.001406,               0.001406,               0.001406
                     32,                 0.5419,                0.37175,                0.92789,                0.96284,                0.89428,                0.91978,                0.73773,                0.99183,                0.62948,                 1.5151,              0.0013862,              0.0013862,              0.0013862
                     33,                0.54164,                0.37018,                0.92172,                0.95295,                0.90335,                 0.9297,                0.73795,                 1.0281,                0.61553,                 1.6087,              0.0013664,              0.0013664,              0.0013664
                     34,                0.52514,                0.35441,                0.92975,                0.93228,                0.70593,                0.80391,                0.61472,                 1.2443,                 1.1055,                 1.7822,              0.0013466,              0.0013466,              0.0013466
                     35,                0.55884,                0.37096,                0.93705,                0.92575,                0.78692,                 0.8643,                0.68237,                 1.0695,                 1.0741,                 1.5691,              0.0013268,              0.0013268,              0.0013268
                     36,                0.54921,                 0.3651,                0.92852,                0.94984,                0.76923,                0.89705,                0.73551,                 1.0455,                 1.1301,                 1.6458,               0.001307,               0.001307,               0.001307
                     37,                0.52549,                 0.3524,                0.92061,                0.93673,                0.86095,                0.89161,                0.71938,                 1.0197,                0.68563,                  1.605,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.5211,                0.34548,                0.91703,                0.89387,                0.77811,                0.85776,                 0.7157,                 1.0488,                 1.0184,                 1.6082,              0.0012674,              0.0012674,              0.0012674
                     39,                0.52493,                0.34425,                0.92395,                0.95216,                 0.8856,                0.92559,                0.73631,                 1.0617,                0.73863,                 1.6868,              0.0012476,              0.0012476,              0.0012476
                     40,                0.50501,                0.33911,                0.90762,                0.94024,                0.88462,                0.91202,                0.72182,                 1.0577,                 0.6614,                 1.6143,              0.0012278,              0.0012278,              0.0012278
                     41,                0.51203,                0.34059,                0.92812,                0.95482,                0.74852,                0.84773,                0.66707,                 1.0973,                0.97902,                 1.5999,               0.001208,               0.001208,               0.001208
                     42,                0.49825,                0.34073,                 0.9135,                0.87424,                0.79528,                0.86123,                0.65465,                 1.2683,                0.88026,                 1.9691,              0.0011882,              0.0011882,              0.0011882
                     43,                0.50841,                0.34485,                0.91748,                0.98598,                0.75049,                0.85279,                0.67823,                 1.0707,                0.91279,                 1.6778,              0.0011684,              0.0011684,              0.0011684
                     44,                0.53044,                0.34586,                0.92177,                0.98017,                0.92606,                0.94641,                0.75639,                0.89643,                0.58253,                 1.5045,              0.0011486,              0.0011486,              0.0011486
                     45,                0.51369,                0.33352,                0.91352,                0.96835,                0.90518,                0.93646,                0.74804,                 1.0345,                0.65956,                 1.6071,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.4874,                0.31521,                0.90616,                0.94975,                 0.8761,                0.92829,                0.76307,                 1.0183,                0.71331,                 1.5986,               0.001109,               0.001109,               0.001109
