                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.741,                 5.3562,                 2.6793,                0.36937,                0.35874,                 0.2827,                0.11892,                 3.7774,                 13.206,                 3.1868,             0.00065873,             0.00065873,             0.00065873
                      2,                 3.7568,                 3.4076,                 2.7198,                0.39123,                0.46404,                  0.379,                0.16738,                 3.8509,                 8.3399,                 3.1926,              0.0013123,              0.0013123,              0.0013123
                      3,                 3.8418,                 3.5126,                 2.7794,                0.18977,                0.14759,                0.08227,                0.03297,                 4.4058,                 8.3923,                 3.6085,              0.0019526,              0.0019526,              0.0019526
                      4,                 3.8048,                  3.319,                 2.7662,                0.18732,                0.22197,                0.13164,                   0.06,                 4.0419,                 5.3846,                 3.2027,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.6794,                 3.0445,                 2.6728,                0.51238,                0.49793,                0.47957,                 0.2106,                 3.8735,                  3.636,                 2.9981,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.6333,                 2.9487,                 2.6703,                0.20156,                0.30754,                0.21164,                0.11008,                 3.5583,                 4.8951,                 2.8191,               0.001901,               0.001901,               0.001901
                      7,                 3.5373,                 2.9588,                 2.5823,                0.51762,                0.48123,                0.48549,                 0.2357,                  3.547,                 4.5423,                 2.8292,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.5375,                 2.8974,                 2.6029,                 0.5522,                0.54087,                0.55592,                0.26027,                 3.5162,                 3.1875,                 2.7587,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.4348,                 2.7901,                 2.5583,                0.48461,                  0.516,                0.48558,                0.22658,                 3.5026,                 3.7379,                 2.7872,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.4377,                 2.7618,                 2.5862,                0.51708,                0.52222,                0.51139,                 0.2295,                 3.5553,                 4.5365,                 2.7777,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.3347,                 2.7256,                  2.518,                0.56693,                0.56505,                0.58085,                0.28896,                 3.2847,                 2.8788,                 2.6555,               0.001802,               0.001802,               0.001802
                     12,                 3.3374,                 2.6641,                 2.5248,                0.50902,                0.55515,                0.53699,                0.27619,                 3.2823,                 3.4078,                 2.6426,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.3476,                 2.6458,                 2.5096,                0.54312,                0.53294,                0.55417,                0.27113,                  3.417,                  2.792,                 2.7039,              0.0017624,              0.0017624,              0.0017624
                     14,                 3.2581,                 2.6061,                 2.4946,                0.56693,                0.55146,                0.57505,                0.29605,                 3.2937,                 2.7469,                 2.6477,              0.0017426,              0.0017426,              0.0017426
                     15,                 3.2352,                 2.5864,                 2.4724,                0.56434,                0.54409,                0.56376,                0.29323,                  3.214,                 2.8591,                 2.6037,              0.0017228,              0.0017228,              0.0017228
                     16,                 3.1992,                 2.6211,                 2.4648,                0.58315,                0.57334,                0.59853,                0.31719,                 3.1804,                 2.6775,                 2.5889,               0.001703,               0.001703,               0.001703
                     17,                 3.1966,                 2.4871,                 2.4507,                 0.5495,                0.56919,                0.55697,                0.28987,                 3.2173,                 2.8545,                 2.5978,              0.0016832,              0.0016832,              0.0016832
                     18,                 3.1532,                  2.397,                 2.4333,                0.54606,                0.56643,                 0.5703,                 0.2857,                  3.394,                 2.9856,                 2.6764,              0.0016634,              0.0016634,              0.0016634
                     19,                 3.1542,                 2.4085,                 2.4253,                0.53591,                0.50705,                0.54717,                0.28763,                 3.2821,                 2.8333,                 2.6224,              0.0016436,              0.0016436,              0.0016436
                     20,                 3.1509,                 2.4239,                 2.4506,                 0.5418,                0.48262,                0.49847,                0.23406,                 3.4984,                 3.0292,                 2.7432,              0.0016238,              0.0016238,              0.0016238
                     21,                  3.171,                 2.4036,                 2.4328,                0.60926,                0.54133,                0.59091,                0.30287,                 3.3601,                 2.6824,                 2.6792,               0.001604,               0.001604,               0.001604
                     22,                  3.119,                 2.3354,                 2.4058,                0.60261,                0.54133,                0.58505,                0.30667,                 3.2701,                 2.6902,                 2.5983,              0.0015842,              0.0015842,              0.0015842
                     23,                 3.1148,                 2.3568,                 2.4252,                0.60635,                0.55515,                0.59994,                0.31247,                 3.2596,                   2.58,                 2.6385,              0.0015644,              0.0015644,              0.0015644
                     24,                 3.0788,                 2.3228,                 2.4147,                0.58479,                0.57288,                0.59401,                0.31484,                 3.2113,                 2.5997,                 2.5976,              0.0015446,              0.0015446,              0.0015446
                     25,                 3.0509,                 2.2702,                 2.4025,                0.57838,                0.54962,                0.57184,                0.30323,                 3.1974,                 2.7501,                 2.5981,              0.0015248,              0.0015248,              0.0015248
                     26,                  3.057,                 2.2111,                 2.3564,                0.55636,                0.55469,                0.56578,                0.29576,                 3.2595,                 2.8399,                 2.6429,               0.001505,               0.001505,               0.001505
                     27,                 3.0795,                 2.2971,                 2.3986,                0.57285,                  0.551,                0.57735,                0.30408,                  3.236,                 2.6816,                 2.6334,              0.0014852,              0.0014852,              0.0014852
                     28,                 3.0341,                 2.2197,                 2.3721,                 0.5563,                0.54386,                 0.5594,                0.29066,                 3.2219,                 2.7124,                 2.6187,              0.0014654,              0.0014654,              0.0014654
                     29,                 3.0134,                 2.2005,                 2.3847,                0.61203,                0.53794,                 0.5964,                0.30588,                 3.2726,                 2.6713,                 2.6367,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.9544,                 2.1484,                 2.3339,                0.57007,                0.58439,                0.59581,                0.32035,                 3.1757,                 2.5756,                 2.6015,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.9465,                 2.1075,                 2.3251,                0.57811,                0.55878,                0.56715,                0.30112,                 3.2002,                 2.8869,                 2.6134,               0.001406,               0.001406,               0.001406
                     32,                 2.9451,                 2.1256,                 2.3088,                0.57317,                0.55594,                 0.5817,                0.31181,                  3.186,                 2.6587,                 2.5969,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.9242,                 2.1164,                 2.3259,                0.55081,                0.49326,                0.51924,                0.27171,                  3.344,                 2.9839,                 2.6848,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.9536,                  2.159,                 2.3331,                0.58044,                0.56942,                0.58687,                0.31659,                 3.1637,                 2.6033,                  2.574,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.8638,                 2.0134,                 2.2812,                0.59102,                0.60226,                0.61944,                0.33725,                 3.1613,                 2.4602,                  2.596,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.8617,                 1.9891,                 2.3162,                0.60298,                0.57386,                0.59839,                0.31971,                 3.2028,                 2.6363,                 2.6144,               0.001307,               0.001307,               0.001307
                     37,                 2.8243,                  1.995,                 2.2803,                0.57158,                0.57414,                0.58534,                 0.3131,                 3.1901,                 2.5739,                 2.5951,              0.0012872,              0.0012872,              0.0012872
