                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9045,                 2.0463,                  1.454,                0.45953,                0.47514,                0.43927,                0.21604,                  1.658,                 1.5823,                  1.386,               0.067524,             0.00032804,             0.00032804
                      2,                 1.7049,                 1.4313,                 1.3293,                0.12203,                0.42344,                0.09677,                0.04704,                 1.6073,                 3.2701,                 1.3507,               0.034517,             0.00065483,             0.00065483
                      3,                 1.7069,                 1.4272,                 1.3413,                0.53531,                0.53373,                0.52776,                0.25366,                 1.6637,                 1.7686,                 1.4256,              0.0015041,             0.00097501,             0.00097501
                      4,                 1.7088,                 1.3617,                 1.3441,                0.55922,                0.50956,                0.54055,                0.28312,                 1.5926,                 1.5408,                 1.3542,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6801,                 1.3721,                 1.3388,                0.52022,                0.53327,                0.53491,                0.27614,                 1.6136,                 1.7773,                 1.3523,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.6547,                 1.3208,                 1.3052,                0.57128,                0.55745,                0.58793,                0.31394,                 1.5211,                 1.3068,                 1.3002,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.6462,                 1.2898,                 1.2954,                0.58995,                0.51531,                0.56767,                0.28193,                 1.6458,                 1.4514,                 1.3596,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6273,                 1.2568,                 1.2871,                0.54376,                0.48031,                 0.5096,                0.25825,                   1.68,                 1.5786,                 1.3893,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6322,                 1.2478,                 1.2846,                0.58663,                  0.551,                0.59094,                0.31043,                 1.5656,                 1.4015,                 1.3087,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.5856,                 1.2494,                 1.2693,                0.61984,                0.54087,                0.59835,                0.30775,                 1.5717,                 1.2597,                 1.3033,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.5857,                 1.2131,                 1.2641,                0.56811,                0.56205,                0.59041,                0.31517,                 1.5557,                  1.257,                 1.3162,               0.000901,               0.000901,               0.000901
